time_s;ndir_ppm;qcl_ppm
3000.0;22.9;24.9
3005.0;23.3;25.0
3010.0;23.1;25.0
3015.0;23.2;25.0
3020.0;23.5;25.0
3025.0;23.2;25.0
3030.0;23.6;25.0
3035.0;23.5;25.0
3040.0;24.0;25.0
3045.0;24.3;25.0
3050.0;23.8;24.9
3055.0;23.7;24.9
3060.0;23.5;25.0
3065.0;23.2;25.0
3070.0;24.0;25.0
3075.0;23.3;24.9
3080.0;23.5;25.0
3085.0;23.8;25.0
3090.0;23.9;25.0
3095.0;23.1;25.0
3100.0;22.9;24.9
3105.0;22.9;25.0
3110.0;24.0;24.9
3115.0;23.1;25.0
3120.0;23.5;25.0
3125.0;23.8;25.0
3130.0;24.2;25.0
3135.0;23.7;24.9
3140.0;23.5;25.0
3145.0;23.6;25.0
3150.0;22.8;25.0
3155.0;22.9;25.0
3160.0;23.5;25.0
3165.0;23.5;25.0
3170.0;23.5;25.0
3175.0;23.9;24.9
3180.0;23.2;25.0
3185.0;23.1;24.9
3190.0;23.0;25.0
3195.0;23.2;24.9
3200.0;22.9;25.0
3205.0;23.4;24.9
3210.0;22.9;24.9
3215.0;23.2;25.0
3220.0;23.2;25.0
3225.0;23.4;25.0
3230.0;23.1;24.9
3235.0;23.2;25.0
3240.0;23.2;25.0
3245.0;22.8;25.0
3250.0;22.6;25.0
3255.0;22.9;25.0
3260.0;23.1;24.9
3265.0;23.1;25.0
3270.0;22.9;24.9
3275.0;23.2;25.0
3280.0;23.8;24.9
3285.0;23.9;24.9
3290.0;23.5;24.9
3295.0;23.2;25.0
3300.0;23.3;24.9
3305.0;23.2;25.0
3310.0;23.2;25.0
3315.0;23.1;25.0
3320.0;23.2;24.9
3325.0;23.3;24.9
3330.0;23.1;24.9
3335.0;22.8;25.0
3340.0;23.5;25.0
3345.0;23.4;25.0
3350.0;23.7;25.0
3355.0;24.0;24.9
3360.0;23.6;24.9
3365.0;23.6;24.9
3370.0;22.9;24.9
3375.0;23.1;24.9
